CLASS,COMID
"7",1692016.00000000000
"7",1692020.00000000000
"7",1692022.00000000000
"7",1692024.00000000000
"7",1692026.00000000000
"7",1692028.00000000000
"7",1692030.00000000000
"7",1692032.00000000000
"7",1692036.00000000000
"7",1692038.00000000000
"7",1692040.00000000000
"7",1692042.00000000000
"7",1692044.00000000000
"7",1692046.00000000000
"7",1692048.00000000000
"7",1692050.00000000000
"7",1692056.00000000000
"7",1692058.00000000000
"7",1692526.00000000000
"7",1692528.00000000000
"7",1692530.00000000000
"7",1692536.00000000000
"7",1692538.00000000000
"7",1692546.00000000000
"7",1692548.00000000000
"7",1692550.00000000000
"7",1692558.00000000000
"7",1692560.00000000000
"7",1692562.00000000000
"7",1692564.00000000000
"7",1692566.00000000000
"7",1692568.00000000000
"7",1692570.00000000000
"7",1692572.00000000000
"7",1692576.00000000000
"7",1692578.00000000000
"7",1692582.00000000000
"7",1692584.00000000000
"7",1692586.00000000000
"7",1692588.00000000000
"7",1692590.00000000000
"7",1692592.00000000000
"7",1692594.00000000000
"7",1692596.00000000000
"7",1692598.00000000000
"7",1692602.00000000000
"7",1692668.00000000000
"7",1692698.00000000000
"7",1692704.00000000000
"7",1692722.00000000000
"7",1692726.00000000000
"7",1692728.00000000000
"7",1692736.00000000000
"7",1692742.00000000000
"7",1692748.00000000000
"7",1692750.00000000000
"7",1692762.00000000000
"7",1692764.00000000000
"7",1692766.00000000000
"7",1692768.00000000000
"7",1692774.00000000000
"7",1692784.00000000000
"7",1692798.00000000000
"7",1692802.00000000000
"7",1692810.00000000000
"7",1692826.00000000000
"7",1692836.00000000000
"7",1692858.00000000000
"7",1692864.00000000000
"7",1692866.00000000000
"7",1692874.00000000000
"7",1692896.00000000000
"7",1692908.00000000000
"7",1692916.00000000000
"7",1692920.00000000000
"7",1692926.00000000000
"7",1692930.00000000000
"7",1692932.00000000000
"7",1692936.00000000000
"7",1692938.00000000000
"7",1692952.00000000000
"7",1692962.00000000000
"7",1692966.00000000000
"7",1692968.00000000000
"7",1692974.00000000000
"7",1692984.00000000000
"7",1693000.00000000000
"7",1693002.00000000000
"7",1693008.00000000000
"7",1693010.00000000000
"7",1693012.00000000000
"7",1693020.00000000000
"7",1693026.00000000000
"7",1693032.00000000000
"7",1693036.00000000000
"7",1693040.00000000000
"7",1693060.00000000000
"7",1693064.00000000000
"7",1693152.00000000000
"7",1693158.00000000000
"7",1693164.00000000000
"7",1693168.00000000000
"7",1693170.00000000000
"7",1693174.00000000000
"7",1693176.00000000000
"7",1693178.00000000000
"7",1693180.00000000000
"7",1693264.00000000000
"7",1693266.00000000000
"7",1693280.00000000000
"7",1693282.00000000000
"7",1693288.00000000000
"7",1693290.00000000000
"7",1693294.00000000000
"7",1693296.00000000000
"7",1693298.00000000000
"7",1693300.00000000000
"7",1693302.00000000000
"7",1693304.00000000000
"7",1693306.00000000000
"7",1693308.00000000000
"7",1693316.00000000000
"7",1693318.00000000000
"7",1693328.00000000000
"7",1693330.00000000000
"7",1693332.00000000000
"7",1693340.00000000000
"7",1693342.00000000000
"7",1693346.00000000000
"7",1693348.00000000000
"7",1693350.00000000000
"7",1693352.00000000000
"7",1693362.00000000000
"7",1693364.00000000000
"7",1693370.00000000000
"7",1693372.00000000000
"7",1693376.00000000000
"7",1693382.00000000000
"7",1693384.00000000000
"7",1693388.00000000000
"7",1693390.00000000000
"7",1693398.00000000000
"7",1693402.00000000000
"7",1693408.00000000000
"7",1693410.00000000000
"7",1693412.00000000000
"7",1693418.00000000000
"7",1693420.00000000000
"7",1693424.00000000000
"7",1693432.00000000000
"7",1693434.00000000000
"7",1693440.00000000000
"7",1693444.00000000000
"7",1693446.00000000000
"7",1693450.00000000000
"7",1693452.00000000000
"7",1693454.00000000000
"7",1693468.00000000000
"7",1693472.00000000000
"7",1693478.00000000000
"7",1693482.00000000000
"7",1693488.00000000000
"7",1693490.00000000000
"7",1693494.00000000000
"7",1693498.00000000000
"7",1693502.00000000000
"7",1693510.00000000000
"7",1693516.00000000000
"7",1693518.00000000000
"7",1693522.00000000000
"7",1693526.00000000000
"7",1693532.00000000000
"7",1693534.00000000000
"7",1693542.00000000000
"7",1693546.00000000000
"7",1693584.00000000000
"7",1693588.00000000000
"7",1693600.00000000000
"7",1693610.00000000000
"7",1694112.00000000000
"7",1694114.00000000000
"7",1694118.00000000000
"7",1694122.00000000000
"7",1694126.00000000000
"7",1694130.00000000000
"7",1694132.00000000000
"7",1694134.00000000000
"7",1694136.00000000000
"7",1694202.00000000000
"7",1694394.00000000000
"7",1694396.00000000000
"7",1694402.00000000000
"7",14945784.00000000000
"7",14945820.00000000000
"7",14959681.00000000000
"7",14959717.00000000000
"7",14961123.00000000000
"7",14961129.00000000000
"7",14961185.00000000000
"7",14961191.00000000000
"7",14961233.00000000000
"7",14961237.00000000000
"7",14961249.00000000000
"7",14961251.00000000000
"7",14961263.00000000000
"7",14961267.00000000000
"7",14961271.00000000000
"7",14961279.00000000000
"7",14961283.00000000000
"7",14961301.00000000000
"7",14961303.00000000000
"7",14961311.00000000000
"7",14961319.00000000000
"7",14961331.00000000000
"7",14961341.00000000000
"7",14961343.00000000000
"7",14961351.00000000000
"7",14961361.00000000000
"7",14962457.00000000000
"7",14962463.00000000000
"7",14971891.00000000000
"7",14971921.00000000000
"7",17154010.00000000000
"7",17154082.00000000000
"7",17159474.00000000000
"7",17169136.00000000000
"7",17170372.00000000000
"7",17171264.00000000000
"7",17171302.00000000000
"7",17171478.00000000000
"7",17171604.00000000000
"7",17171610.00000000000
"7",17172812.00000000000
"7",17173656.00000000000
"7",17173676.00000000000
"7",17173686.00000000000
"7",17173728.00000000000
"7",17174130.00000000000
"7",17174202.00000000000
"7",17175288.00000000000
"7",17175308.00000000000
"7",17176084.00000000000
"7",17176118.00000000000
"7",17574219.00000000000
"7",17574387.00000000000
"7",17636484.00000000000
"7",17637352.00000000000
"7",20202406.00000000000
"7",20202420.00000000000
"7",20202422.00000000000
"7",20202434.00000000000
"7",20202440.00000000000
"7",20202490.00000000000
"7",20202510.00000000000
"7",20202522.00000000000
"7",20202548.00000000000
"7",20202562.00000000000
"7",20202564.00000000000
"7",20202570.00000000000
"7",20202588.00000000000
"7",20202846.00000000000
"7",20202866.00000000000
"7",20202880.00000000000
"7",20202896.00000000000
"7",20202912.00000000000
"7",20202924.00000000000
"7",20203336.00000000000
"7",20204452.00000000000
"7",20204454.00000000000
"7",20204470.00000000000
"7",20204486.00000000000
"7",20204498.00000000000
"7",20204504.00000000000
"7",20204508.00000000000
"7",20204554.00000000000
"7",20204562.00000000000
"7",20204568.00000000000
"7",20204572.00000000000
"7",20204578.00000000000
"7",20204584.00000000000
"7",20204590.00000000000
"7",20204608.00000000000
"7",20204614.00000000000
"7",20204646.00000000000
"7",20204668.00000000000
"7",20204680.00000000000
"7",20204722.00000000000
"7",20204732.00000000000
"7",20204736.00000000000
"7",20204738.00000000000
"7",20204750.00000000000
"7",20204752.00000000000
"7",20204754.00000000000
"7",20204756.00000000000
"7",20204796.00000000000
"7",20204800.00000000000
"7",20204804.00000000000
"7",20204808.00000000000
"7",20204810.00000000000
"7",20204812.00000000000
"7",20204890.00000000000
"7",20204914.00000000000
"7",20204926.00000000000
"7",20204988.00000000000
"7",20205018.00000000000
"7",20205044.00000000000
"7",20205076.00000000000
"7",20205078.00000000000
"7",20205096.00000000000
"7",20205116.00000000000
"7",20205134.00000000000
"7",20205136.00000000000
"7",20205138.00000000000
"7",20205154.00000000000
"7",20205160.00000000000
"7",20205166.00000000000
"7",20205170.00000000000
"7",20205180.00000000000
"7",20205190.00000000000
"7",20205192.00000000000
"7",20205206.00000000000
"7",20205208.00000000000
"7",20205212.00000000000
"7",20205214.00000000000
"7",20205228.00000000000
"7",20205232.00000000000
"7",20205246.00000000000
"7",20205256.00000000000
"7",20205262.00000000000
"7",20205270.00000000000
"7",20205274.00000000000
"7",20205276.00000000000
"7",20205278.00000000000
"7",20205282.00000000000
"7",20205306.00000000000
"7",20205316.00000000000
"7",20205324.00000000000
"7",20205326.00000000000
"7",20205330.00000000000
"7",20205332.00000000000
"7",20205336.00000000000
"7",20205338.00000000000
"7",20205352.00000000000
"7",20205362.00000000000
"7",20205410.00000000000
"7",20205424.00000000000
"7",20205426.00000000000
"7",20205430.00000000000
"7",20205438.00000000000
"7",20205446.00000000000
"7",20205456.00000000000
"7",20205462.00000000000
"7",20205464.00000000000
"7",20205466.00000000000
"7",20205468.00000000000
"7",20205470.00000000000
"7",20205476.00000000000
"7",20205478.00000000000
"7",20205482.00000000000
"7",20205484.00000000000
"7",20205486.00000000000
"7",20205488.00000000000
"7",20205490.00000000000
"7",20205494.00000000000
"7",20205508.00000000000
"7",20205514.00000000000
"7",20205520.00000000000
"7",20205524.00000000000
"7",20205532.00000000000
"7",20205536.00000000000
"7",20205542.00000000000
"7",20205546.00000000000
"7",20205556.00000000000
"7",20205560.00000000000
"7",20205566.00000000000
"7",20205568.00000000000
"7",20205576.00000000000
"7",20205578.00000000000
"7",20205580.00000000000
"7",20205584.00000000000
"7",20205588.00000000000
"7",20205590.00000000000
"7",20205594.00000000000
"7",20205600.00000000000
"7",20205602.00000000000
"7",20205608.00000000000
"7",20205610.00000000000
"7",20205614.00000000000
"7",20205620.00000000000
"7",20205624.00000000000
"7",20205626.00000000000
"7",20205630.00000000000
"7",20205636.00000000000
"7",20205640.00000000000
"7",20205644.00000000000
"7",20205646.00000000000
"7",20205650.00000000000
"7",20205652.00000000000
"7",20205654.00000000000
"7",20205658.00000000000
"7",20205662.00000000000
"7",20205672.00000000000
"7",20205678.00000000000
"7",20205686.00000000000
"7",20205688.00000000000
"7",20205690.00000000000
"7",20205692.00000000000
"7",20205694.00000000000
"7",20205698.00000000000
"7",20205700.00000000000
"7",20205702.00000000000
"7",20205704.00000000000
"7",20205706.00000000000
"7",20205710.00000000000
"7",20205712.00000000000
"7",20205722.00000000000
"7",20205728.00000000000
"7",20205734.00000000000
"7",20205736.00000000000
"7",20205738.00000000000
"7",20205748.00000000000
"7",20205766.00000000000
"7",20205770.00000000000
"7",20205778.00000000000
"7",20205780.00000000000
"7",20205782.00000000000
"7",20205792.00000000000
"7",20205794.00000000000
"7",20205796.00000000000
"7",20205798.00000000000
"7",20205800.00000000000
"7",20205802.00000000000
"7",20205804.00000000000
"7",20205806.00000000000
"7",20205812.00000000000
"7",20205814.00000000000
"7",20205818.00000000000
"7",20205824.00000000000
"7",20205828.00000000000
"7",20205830.00000000000
"7",20205832.00000000000
"7",20205834.00000000000
"7",20205838.00000000000
"7",20205840.00000000000
"7",20205844.00000000000
"7",20205852.00000000000
"7",20205856.00000000000
"7",20205870.00000000000
"7",20205872.00000000000
"7",20205884.00000000000
"7",20205898.00000000000
"7",20205914.00000000000
"7",20205926.00000000000
"7",20205928.00000000000
"7",20205940.00000000000
"7",20206494.00000000000
"7",20206498.00000000000
